periodo,uf,n_amostral,n_amostral_cp,n_amostral_nano,total_cp_estimado,total_nano_estimado,ic95_low,ic95_high,cv_pct,share_nano_em_cp,mei_ativos_total,taxa_formalizacao_aprox,informais_aprox,observacao_mei_maior_nano
2025T3,TO,7685,923,733,179940.73892238,138636.88612880002,124328.15973130034,152945.6125262997,5.27,0.7705,82263,0.5934,56374.0,False
2025T3,AP,4807,625,570,99880.89248883,90340.44399171,74757.66426261398,105923.22372080601,8.8,0.9045,17619,0.195,72721.0,False
2025T3,RR,5800,634,550,65969.1251497,55555.04786213,47395.11064987196,63714.98507438804,7.49,0.8421,22024,0.3964,33531.0,False
2025T3,AC,9456,776,687,64225.69716477,55470.06610389,49556.6096953554,61383.5225124246,5.44,0.8637,20801,0.375,34669.0,False
2025T4,SP,38483,5096,3307,6091192.0388711,3751191.38734022,3546920.122373259,3955462.652307181,2.78,0.6158,3688136,0.9832,63055.0,False
2025T4,MG,37762,4759,3577,2602462.30770927,1919552.71537848,1825075.4626991122,2014029.9680578478,2.51,0.7376,1471497,0.7666,448056.0,False
2025T4,RJ,34091,4461,3400,2291138.59340173,1693864.47573902,1596216.035307373,1791512.916170667,2.94,0.7393,1254343,0.7405,439521.0,False
2025T4,BA,23628,3079,2779,1883706.570846,1681547.86543218,1578737.6425286601,1784358.0883356999,3.12,0.8927,619497,0.3684,1062051.0,False
2025T4,PA,18840,2692,2411,1148888.77812092,1033310.2925018901,965012.9946373575,1101607.5903664227,3.37,0.8994,234328,0.2268,798982.0,False
2025T4,CE,23555,2609,2387,1053217.2954072,941424.85875105,885428.8379598445,997420.8795422554,3.03,0.8939,351087,0.3729,590338.0,False
2025T4,PR,28408,3758,2454,1485179.13994145,919811.5983623499,864008.6322681798,975614.56445652,3.1,0.6193,907133,0.9862,12679.0,False
2025T4,RS,25782,3756,2480,1420735.07173632,916217.8858198801,860598.6832204503,971837.0884193098,3.1,0.6449,826789,0.9024,89429.0,False
2025T4,MA,31413,4251,3997,925063.9299894699,852921.88036841,809162.4601437016,896681.3005931184,2.62,0.922,140663,0.1649,712259.0,False
2025T4,PE,19123,1798,1579,931863.04872573,807988.89147898,750717.2797761112,865260.5031818487,3.62,0.8671,374989,0.4641,433000.0,False
2025T4,SC,31513,4398,2580,1096544.12670896,607703.49404036,572953.0655291656,642453.9225515544,2.92,0.5542,711056,1.0,0.0,True
2025T4,GO,16154,1965,1394,866823.33041223,597472.1503323,550303.6575971073,644640.6430674926,4.03,0.6893,508165,0.8505,89307.0,False
2025T4,AM,14423,1998,1841,522334.34648555,475038.61562772,435205.2902379336,514871.94101750647,4.28,0.9095,124205,0.2615,350834.0,False
2025T4,ES,17912,2138,1561,473690.58044663,337749.77752857003,312182.35927541077,363317.1957817293,3.86,0.713,321055,0.9506,16695.0,False
2025T4,PB,14991,1451,1236,390797.28294319997,332474.30917569,304140.0711665189,360808.5471848611,4.35,0.8508,171584,0.5161,160890.0,False
2025T4,RN,10072,1115,988,377690.05166729994,331437.64594833,297611.97759859066,365263.31429806934,5.21,0.8775,151216,0.4562,180222.0,False
2025T4,PI,12191,1313,1187,373194.55788665003,331303.96415873,299994.88659020094,362613.04172725906,4.82,0.8878,96456,0.2911,234848.0,False
2025T4,MT,14182,1901,1302,455810.90292337,290977.69076985004,263953.692639937,318001.6888997631,4.74,0.6384,254215,0.8737,36763.0,False
2025T4,AL,19730,1725,1556,296281.40280944004,262091.84346131998,243114.2284002764,281069.45852236357,3.69,0.8846,118391,0.4517,143701.0,False
2025T4,MS,11789,1335,970,311672.55628274,218628.45908102999,196618.33365089336,240638.5845111666,5.14,0.7015,177854,0.8135,40774.0,False
2025T4,SE,9215,897,791,226435.12277666,192983.48577665997,172097.76285145667,213869.20870186327,5.52,0.8523,84521,0.438,108462.0,False
2025T4,DF,8413,757,500,264369.3984988,168579.33371656,148300.79976906814,188857.86766405188,6.14,0.6377,204666,1.0,0.0,True
2025T4,RO,8608,1248,951,228155.72541902,162873.18199795,145143.05959311692,180603.3044027831,5.55,0.7139,77818,0.4778,85055.0,False
2025T4,TO,7575,864,703,164661.25421942002,128659.88676759,115493.21357433511,141826.5599608449,5.22,0.7814,83127,0.6461,45533.0,False
2025T4,AP,5184,687,629,98637.35483985001,88915.12348349,74240.18128943679,103590.0656775432,8.42,0.9014,18342,0.2063,70573.0,False
2025T4,RR,6105,620,549,67121.1383104,56309.75912159,48546.10330113783,64073.414942042175,7.03,0.8389,22812,0.4051,33498.0,False
2025T4,AC,9352,692,625,61251.75040555,54701.755737219995,49094.98978089961,60308.52169354038,5.23,0.8931,21289,0.3892,33413.0,False
